Slang,Definition,Origin/Context,is_nsfw
edge,To maintain a high level of sexual arousal for an extended period without reaching climax (orgasm).,"The term ""edging"" originates from sexual health and BDSM practices as a technique to prolong arousal, but it has recently become common Gen Z internet slang used to describe the act of hovering right at the point of peak intensity. In casual conversation, it is often used humorously or ironically to characterize waiting in suspense or building anticipation for something.",True
Emo,Feeling emotional; usually sad.,"""The ending of La La Land has me so emo.""",False
Era,Refers to a specific period in someone's life where they're focusing on a certain aesthetic or lifestyle.,"Popularized by Taylor Swift's shifts in style between her albums. These can be as simple or complex as is desired; examples may include ""villain era,"" ""healing era,"" and ""not caring about what people think, just focusing on my own life and being content with what I have era.""",False
Extra,Excessive in action. Used to describe someone who is too excited.,Example sentence: She's being so extra about her birthday. (She was very excited about her birthday.),False
face card,An attractive face.,Sometimes defined as never declining or receding.,False
Face with bags under eyes emoji 🫩,Used to express beleaguerment.,"The ""face with bags under eyes"" emoji (often rendered as 😮‍💨 or 😩 in practice, though specifically trending as the ""tired face"") is used by Gen Z to dramatize feelings of exhaustion, burnout, or emotional depletion. It serves as a visual shorthand for the ""sleep-deprived student or worker"" aesthetic prevalent in chronically online culture.",False
Facts,"Facts are used to show when you really agree, or affirm something that is true. It is usually used in casual conversation when you agree with someone else's statement.",Example sentence: Facts. That's exactly how I feel. (That's right. That's exactly how I feel.),False
Fam,"It is an abbreviation for family, but in slang it means broader. It can mean the closest people, both family and close friends. Generally used as a warm or familiar greeting.","Example sentence: What's up, fam? (How are you, bro/sis?)",False
fanum tax,Theft of food between friends.,"""Fanum tax"" originated from popular streamer Kai Cenat, who frequently joked about stealing food from his friend and fellow streamer, Fanum, during their broadcasts. The term has since evolved into a general Gen Z slang expression for playfully or stealthily taking a portion of someone else's meal.",False
Filter,"In the context of social media, filters are visual effects that are used to change the appearance of a photo or video, for example beautifying a face, adding color, or giving a funny effect.",Example sentence: She looks totally different with that filter. (He looks very different using that filter.),False
finna,"Short for ""I am going to"" or ""I am about to"".","The term has its roots in Southern American English, where ""fixing to"" has been used to mean ""getting ready to"" since the 18th century. Often used interchangeably with ""gonna"".",False
Finsta,Fake Instagram.,"Usually it's someone's second, less-public Instagram account, often used to be more real and raw than on one's primary account. Can also be used to lurk on someone in a more low-key way.",False
Fire,"This means that it is really cool, extraordinary, or very top-notch. It is usually used for music, fashion, food, or anything that is considered very good.",Example sentence: That new album is straight fire! (The new album is really cool!),False
Fit,"Fit stands for outfit, meaning a person's clothing or style of dress. It is usually used to compliment the appearance of others.",Example sentence: That's a cute fit you're wearing. (The clothes you wear are really funny.),False
Fit check,"Well, if a fit check is an invitation when someone wants to show the outfit/style of dress that is being worn. Usually, this term is often used on social media.","Example sentence: Let's do a fit check before we head out. (Come on, check the outfit first before we leave.)",False
fit,Term used to highlight or bring attention to one's outfit or fashion.,"""Fit"" is a truncation of ""outfit"".",False
fit check,Term used to highlight or bring attention to one's outfit or fashion.,"""Fit"" is a truncation of ""outfit"".",False
Flex,"In slang, flex means to show off something, usually in the form of expensive items, achievements, or lifestyles. It can be neutral (just showy) or negative (arrogant).",Example sentence: He flexed his new car on Instagram. (He showed off his new car on Instagram.),False
Flex on,"More specifically than flex, flex on means showing off something with the aim of showing off in front of others.",Example sentence: He's flexing on everyone with his new car. (He showed off his new car to everyone.),False
flop era,When a person is not getting enough likes and views and starts posting memes and putting text over it in hope of going viral.,Primarily used on TikTok and Twitter.,False
Flunk,Failing an exam or failing a subject/lecture. This word is usually used for academic situations.,Example sentence: He flunked his chemistry test again. (He failed again on the Chemistry test.),False
FOMO,"An acronym for ""fear of missing out"", meaning the anxiety or regret of not being part of something fun or exciting, such as a social event or a trend.","Example:*I have FOMO, I wish I was at the concert. Don't let FOMO get to you, you're not missing much.*",False
FR,For real.,"""FR"" is an abbreviation for ""for real,"" used to express sincere agreement, confirm the truth of a statement, or emphasize one's feelings. It gained widespread popularity through texting and social media as a shorthand way to validate what someone else has said.",False
Freshman,"In college slang in America, freshman means freshman or freshman. This word is commonly used to describe people who are just starting college or high school.",Example sentence: He's a freshman this semester. (He's a freshman this semester.),False
Fruity,"Suggestive of being gay, not always logically.","""Rain is fruity and I'm not explaining why.""",False
FWB,Friends with benefits.,"This is an undefined sexual relationship that's generally considered to be more serious than just hooking up, but less serious than an actual committed relationship. This usually happens because one person doesn't want to commit, while the other hopes he/she will.",True
FYP,"FYP is a TikTok term for a primary recommendation page. If our video enters the FYP, it means that the video appears on the homepage of many people and has the potential to go viral.",Example sentence: My video made it to the FYP! (My video is in FYP!),False
gagged,"Shocked, amazed, or at a loss for words.","""Gagged"" originates from ballroom culture and LGBTQ+ slang, where it signifies being so stunned by someone’s performance or appearance that you are ""choked up"" or left speechless. In modern Gen Z usage, it is commonly employed to express extreme surprise or being thoroughly impressed by something.",False
gas,"To describe something as highly entertaining, pleasant, or good.","""Gas"" originated in African American Vernacular English (AAVE) and gained mainstream popularity through hip-hop culture, where it refers to high-quality marijuana before evolving to describe anything outstanding or exciting. It is typically used as a synonym for ""excellent"" or ""fire"" to validate a person's vibe, a song, or an overall experience.",True
Gassing,To hype someone up.,"""I'm always gassing up my girlfriend so she knows she looks cute.""",False
GD,God D***.,"""It's so gd annoying when...""",True
gem,"A high quality post or poster, specifically of a Soyjak on the imageboard soyjak.party.","The term ""gem"" originates from the imageboard soyjak.party, where it is used to describe a particularly high-quality or relatable ""soyjak"" caricature. It has since evolved into a niche internet slang used to praise content that users find exceptionally clever or aesthetically pleasing within that specific subculture.",False
Ghost,"A verb meaning to ignore, avoid, or cut off contact with someone, usually a romantic interest, without explanation or warning.","Example:*He ghosted me after two dates. Don't ghost her, just tell her how you feel.*",False
Ghosting,"Disappearing without notice, usually in the context of a friendship or romance. It is often used when someone suddenly stops replying to messages or calls for no apparent reason.","Example sentence: I thought we were close, but she ghosted me. (I thought we were close, but he suddenly disappeared.)",False
Gig,"Short-term or temporary jobs. Originally the term was popular in the music world (for band performances), but now it's often used for freelance or side jobs.",Example: She got a gig as a freelance designer. (He got a job as a freelance designer.),False
Girl dinner,Refers to the occasionally strange collections of food girls find themselves putting together for a cooking-free meal.,"These range from the charming and curated (like an artfully prepared charcuterie board) to the downright unhealthy, like leftover french fries, a piece of cheese, and half an energy bar.",False
Girl math,"Refers to the sometimes strange, sometimes silly, and often relatable ways that women describe seeing their finances.","The phrase is something of an inside joke in women both online and off, but has also been used derogatively to suggest that all women are bad with money. ""If I paid for the concert tickets six months ago, I've had enough paydays since then that it might as well be free."" ""That is some girl math.""",False
glaze,"To hype, praise, or compliment someone so much that it becomes annoying or excessive.","The term ""glaze"" originated from the idea of ""glazing"" someone with excessive praise, essentially ""coating"" them in compliments until it becomes embarrassing or sycophantic. It is primarily used in internet culture to describe someone who is acting like a ""fanboy"" or obsessively defending another person.",False
Glazing,Overly hyping somebody up.,"""Glazing"" originated within gaming and hip-hop culture to describe someone who is ""coating"" another person in constant, excessive praise, often to an embarrassing or sycophantic degree. It is typically used as an insult to suggest that the person is acting like a ""fan"" or trying too hard to seek validation.",False
glizzy,A hot dog.,"Popularized in 2020, possibly from the Washington metropolitan area, and possibly originating from the slang term ""glizzy"" for a Glock handgun. It may also refer to as a penis. (approximately the same length as a hot dog).",True
Glow,"Shining or looking attractive, it is usually used to compliment someone's appearance that looks fresh or happy.",Example sentence: You're glowing today! (You look so shining today!),False
Glow up,"Slang for positive transformation, usually in terms of one's appearance, confidence, or lifestyle.",Example sentence: She had a major glow up since high school. (She's turned completely into a cooler person since high school.),False
Glow down,"The opposite of glow up, glow-down means a negative change in a person from before.",Example sentence: He had a serious glow-down since high school. (He changed drastically to be less attractive since high school.),False
glow up,"A major improvement in one's self, usually an improvement in appearance, confidence, personality, and style.","Frequently used in a context relating to puberty. A ""glow-down"" is a situation where someone's appearance has declined.",False
gng,"Used to refer to a close group of friends or as a casual greeting/address (e.g., ""wassup gng"" meaning ""what's up, gang"").","Can also mean ""good night gang"" in parting contexts, especially among gamers or online communities.",False
Go off,Giving someone permission to rant about something or someone they're mad about.,"""She was so rude. Go off!""",False
Goals,"A noun meaning something that is desirable, admirable, or aspirational. Often used with hashtags (#) to indicate what one wants to achieve or have in life.",Example: *They're so cute together #relationshipgoals. She's so successful #careergoals.*,False
GOAT,"Acronym for ""greatest of all time"".","The term ""GOAT"" originated in the 1990s, notably popularized by boxing legend Muhammad Ali, who referred to himself as ""the greatest."" It is now widely used in sports, music, and pop culture to identify someone or something as the undisputed best in their field.",False
Goat,"GOAT stands for Greatest of All Time, meaning the best of all time in a particular field. Often used for athletes, musicians, or famous figures.",Example sentence: That performance proves she's the GOAT of pop music. (That performance proved he was the best in pop music.),False
good boy,A phrase that is mockingly used when one is told to do something and they do it.,The phrase is derived from the way people praise dogs for doing an instructed task.,False
good girl,A phrase that is mockingly used when one is told to do something and they do it.,The phrase is derived from the way people praise dogs for doing an instructed task.,False
goofy ahh,"An AAVE phrase and slang term meaning ""goofy ass"" used to label content as goofy or silly.","""Goofy ahh"" originated from text-to-speech mispronunciations of ""goofy ass"" in viral TikTok memes, where the filter would replace the ""ss"" sound with ""ah."" It is now widely used on social media to mock or describe content that is perceived as absurd, silly, or awkward.",False
gooning,The act of masturbating for long periods of time or for someone who does it chronically.,"Originating in internet subcultures, the term ""gooning"" emerged as slang to describe the act of entering a trance-like state while engaging in extended sessions of masturbation. It is primarily used within niche online communities and adult content spaces to refer to those who participate in this specific, prolonged behavior.",True
Grand's,"Grands is slang for calling grandmother and grandfather, aka grandparents, in a short and familiar way.",Example sentence: I'm going to visit Grands. (I want to visit my grandparents.),False
grape,An algospeak term for rape typically used online to bypass automatic filters.,"The use of the grape emoji in substitution for the word ""rape"" is also common.",True
green flag,"Behaviors or personality traits that are considered positive, healthy, or desirable.","Originating from the metaphor of a green traffic light signaling that it is safe to proceed, the term is used in dating and social contexts to identify healthy, positive traits in a person. It serves as the direct opposite of a ""red flag,"" indicating that someone is a safe or desirable partner or friend.",False
Grind,"Constant hard work to achieve a goal, be it work, school, or personal endeavor.",Example sentence: The grind never stops when you're chasing your dreams. (Hard work never stops when you're chasing your dreams.),False
Grub,"In slang, grub means food. Used in a casual or casual tone, usually when inviting a meal together.","Example sentence: Let's grab some grub. (Come on, find food.)",False
Gucci,"Meaning good, cool, fashionable, or excellent.",Used to express approval or satisfaction for something. Originated from the luxury brand Gucci.,False
Gyatt,"Shorthand for g*****n, originating on Twitch as a way to respond to seeing an attractive woman.","The term has morphed into a noun referring to said women, particularly their backsides.",True
Hang out,Hang out together or spend some relaxing time with friends/family.,Let's hang out this weekend! (Let's get together this weekend!),False
Hangry,A combination of the word hungry + angry. It means angry or in a bad mood because of hunger.,"Example sentence: Don't talk to me now, I'm hangry. (Don't talk to me yet, I'm angry because I'm hungry.)",False
Hashtag,"On social media, hashtags (hashtags ""#"") are used to tag specific categories or topics to make posts easy to find.",Example sentence: Don't forget to use hashtags to get more views. (Don't forget to wear hashtag to get more views.),False
hawk tuah,An onomatopoeia for spitting or expectoration on a penis as a form of oral sex used by Haliey Welch in 2024.,"The term originated from a viral street interview clip in June 2024 featuring Haliey Welch, who used the onomatopoeia to describe proper technique during oral sex. It quickly became a widespread internet meme, used primarily in social media content to signal humor or cultural relevance regarding the viral moment.",True
hb,An initialism of homeboy/homegirl.,Slang used to refer to one's friends.,False
hg,An initialism of homeboy/homegirl.,Slang used to refer to one's friends.,False
High key,"Slang for something very obvious, real, or overt. The opposite of low-key which means secretly.",Example sentence: I high-key want that new phone. (I really want the new phone.),False
Highkey,"An adverb meaning openly, obviously, or intensely. Often used to express a strong or exaggerated opinion or emotion.","Example: *Highkey, this is the best pizza ever. I highkey love her.*",False
hit different,To be better in a distinctive manner.,The origin of the term is unclear.,False
Hit the books,"Phrases that mean start studying seriously, usually for exams or big assignments.",Example sentence: I need to hit the books this weekend. (I have to study seriously this weekend.),False
Hit the ground running,Slang to work quickly and full of energy right from the start. Often used in the world of work or when working on new projects.,Example sentence: She hit the ground running on her first day. (He was immediately dexterous at work on his first day.),False
Hits different,Something that affects you in a bigger way than other things.,"""This sandwich hits different!""",False
Hoco,Short for Homecoming.,"""Hoco"" is a common abbreviation for Homecoming, a traditional American high school or college event involving a dance and football game. It is primarily used by students in casual conversation or on social media to refer to plans and outfits for the festivities.",False
Hold this L,"""Hold this L"" is a taunting phrase used to mock or ridicule someone who has experienced a loss, failure, or embarrassing situation. The ""L"" stands for the word ""loss"".","The ""L"" stands for the word ""loss""",False
Hooked,"Really like or be addicted to something, whether it's a song, movie, game, or activity.","Example sentence: I'm totally hooked with this song, so good! (I'm so addicted to this song, it's so cool!)",False
Hooking up,Has various levels of meaning.,Could refer to anything from making out to having sex.,True
Hop off,Mind your own business.,"""Hop off"" is derived from the phrase ""hop off [someone's] meat"" (or ""stick""), which originated in African American Vernacular English (AAVE) to mean stop obsessing over or criticizing someone. It is now used primarily on social media to tell someone to stop interfering in affairs that do not concern them.",False
Hot girl summer,"""Hot girl summer"" is a phrase that encourages women to embrace confidence, self-acceptance, and living life to the fullest during the summer months. It promotes a carefree, empowered, and unapologetic attitude.","""Hot girl summer"" originated from a 2019 tweet by rapper Megan Thee Stallion, who defined it as a period for women to be unapologetically themselves and have fun. The term quickly went viral, evolving into a cultural movement focused on confidence, self-love, and living life to the fullest.",False
Hot mess,"Slang for someone or a messy situation, but there's still a funny or interesting side to it.",Example sentence: I'm a hot mess during finals week. (I was really screwed up during the week of the final exam.),False
Hunty,"Combination of ""honey"" and ""c***.""","It originated in the drag queen community as a slight insult, but it's starting to be used amongst groups of girls as a term of endearment.",True
Hustle,"Working hard with a lot of effort, is often used to motivate or describe how hard a person works to achieve a goal.",Example sentence: Gotta hustle if you want to hit that deadline. (You'll have to work hard if you want to catch up on that deadline.),False
huzz,"A variation of the pejorative word ""hoes"" similarly used to objectify, degrade, and/or belittle women.",Originated and became popular on TikTok. The term gained traction with its usage and teaching by streamer Kai Cenat. It also can be meant as a short way to say husband.,True
Hype,"Hype is used to describe something that is exciting, crowded, or high in enthusiasm. It can be for events, trends, or atmospheres.",Example sentence: The party last night was hype! (Last night's party was very crowded and exciting!),False
Hypebeast,"It is used to refer to someone who really likes trendy items, especially fashion, and often buys branded products for style.",Example sentence: He's such a hypebeast with those shoes. (He's a very hypebeast with those shoes.),False
I fear,A way to preface saying something very bluntly.,"""I fear you aren't ready to take this exam,"" or ""I fear that color is not working on you.""",False
I oop,"Used to express shock, embarrassment, and/or amusement.","""I oop"" originated from a 2019 viral video by drag queen Jasmine Masters, where she accidentally interrupted herself mid-sentence after hitting her chair. It is now commonly used in digital spaces to express a sudden realization, faux pas, or unexpected reaction to a messy situation.",False
I'm baby,"Saying ""I'm baby"" is a way of acknowledging one's inexperience, naivety, or lack of knowledge about a particular situation or topic. It's a self-deprecating admission of being a beginner or novice.","""I'm baby"" originated from internet memes depicting cute, helpless animals, and it is used to playfully claim innocence or a need for coddling when one feels overwhelmed or lacks experience. It serves as a lighthearted way to deflect responsibility or ask for gentle treatment by positioning oneself as small and vulnerable.",False
ick,A sudden feeling of disgust or repulsion for something one was previously attracted to.,"The term gained widespread popularity on TikTok and social media following its use in the 1997 television series *Ally McBeal* to describe a sudden, irrevocable loss of romantic interest. Today, it is used to describe a specific, minor action or quirk that makes someone instantly unappealing.",False
Ick,Used mostly by young women to refer to something a boy does that turns them off but doesn't necessarily make sense.,"""I thought about him singing Rihanna in the shower and it honestly gave me the ick."" ""Close-up magic is such an ick for me.""",False
The ick,Used mostly by young women to refer to something a boy does that turns them off but doesn't necessarily make sense.,"""I thought about him singing Rihanna in the shower and it honestly gave me the ick."" ""Close-up magic is such an ick for me.""",False
icl,"Abbreviation of ""I can't lie"".",Often used alongside ts and pmo.,False
IGL,In Game Life.,This term is used by gamers to talk about their gaming lives.,False
IJBOL,"An acronym for ""I just burst out laughing"".","IJBOL originated in K-pop fan circles on X (formerly Twitter) around 2021 as a successor to ""LMAO"" or ""ROFL."" It is used to describe a reaction to something so funny that it triggers an uncontrollable, sudden burst of laughter.",False
In the loop,Stay informed or stay updated in a situation/project.,Example sentence: Keep me in the loop about the project. (Stay tuned for the project.),False
iPad kid,Term describing Generation Alpha children who spend most of their time consuming content via a phone or tablet screen.,"The term was popularized in January 2021 after a 21-year-old TikToker criticized Millennial parents for allowing their children excessive screen time, saying, ""I need everyone else in my generation to promise that we are not going to raise 'iPad children'. ... You've been shoving media and screens in these kids' faces since birth."" He concludes: ""Gen Z isn't allowed to raise iPad kids."" The viral video garnered more than 525 million views on TikTok.",False
IRL,In Real Life.,"""IRL"" originated in the early days of internet chat rooms and forums to distinguish offline, physical interactions from online activities. Today, it is widely used to bring a sense of tangible reality to digital conversations, such as planning a meeting with an online friend.",False
It hits different,"A phrase that is commonly used when something feels more memorable, stronger, or more special than usual.",Example sentence: This song hits different at night. (This song feels more effective when listened to at night.),False
It's giving,"A phrase used to describe the vibe or impression of someone or something, usually in a positive or sarcastic way.",Example: *Her outfit is giving me 90s nostalgia. It's giving iconic.*,False
it's joever,"Replacement for it's over, standing for complete physical and mental defeat.","Emerged in 2024, when Joe Biden withdrew from the presidential election.",False
IYKWIM,If you know what I mean.,"IYKWIM is an initialism that originated in internet chat rooms and SMS culture to imply a secret or suggestive subtext behind a statement. It is commonly used to wink at the reader, signaling that there is an unspoken mutual understanding of a deeper or flirtatious meaning.",False
iykyk,"Acronym for ""If you know, you know"".",Used to describe inside jokes and niche references.,False
jestermaxxing,"A slang term referring to both internet subcultures such as incels, and to the practice of using extreme humor, comedic antics, or acting like a ""clown"" to gain female attention and attraction.","**Jestermaxxing** originates from ""incel"" subculture terminology, where the suffix ""-maxxing"" denotes an extreme focus on improving one's specific traits to attract a partner. It refers to the strategy of over-utilizing humor or acting as the group ""clown"" as a desperate or calculated performance to gain female attention.",False
jit,An African-American term originating in the 1970s.,Often used to describe an inexperienced or young individual. Ex:. Jit trippin,False
JOMO,"JOMO is the opposite of FOMO. It means being happy when you choose not to follow trends or events, and enjoy your own time more.","Example sentence: I stayed home and enjoyed some JOMO. (I'm at home, and enjoy not being left out.)",False
Juul,Vaping.,"Juul is a brand of e-cigarette that's very popular with teenagers, despite their claims that they aren't trying to market to teens.",False
Juuling,Vaping.,"Juul is a brand of e-cigarette that's very popular with teenagers, despite their claims that they aren't trying to market to teens.",False
Karen,"Pejorative term for an obnoxious, angry, or entitled (usually but not exclusively white and middle-aged) woman.",Also male Karen to denote a man of the same personality type.,False
Keep it 100,"Be true to yourself and stick to your values (short for ""Keep it 100% real"").",Made mainstream by *The Bachelorette's* Rachel Lindsay.,False
Keyboard warrior,"This term is used to refer to someone who likes to be noisy, fierce, or silly on the internet, but usually doesn't dare to do the same thing in the real world.",Example sentence: Ignore the keyboard warriors in the comments. (Just ignore the keyboard warriors in the comments.),False
Khia,A nobody or irrelevant person.,"The term is used to describe female musical artists ""who people talk about, but who no one seems to care about culturally"", who are said to be stuck in the ""Khia Asylum"", an imaginary place where pop stars are kept until they find major success. The term is derived from the name of American rapper Khia.",False
Kirkifying,Use of deepfake softwares to put Charlie Kirk's face to pictures of already popular online memes.,"""Kirkifying"" originated as an internet subculture practice, primarily on platforms like X (formerly Twitter), where users apply a specific face-shrinking filter to Charlie Kirk’s photos to mock his appearance, subsequently extending this to pasting his face onto various viral memes. The term is used to describe the act of digitally manipulating his likeness into popular online templates for ironic or satirical humor.",False
KMS,"Acronym for ""kill myself"".","KMS is an acronym for ""kill myself,"" primarily used in digital spaces and social media as hyperbolic shorthand to express extreme frustration, embarrassment, or annoyance at a situation. Despite its literal meaning, it is typically employed as self-deprecating humor rather than a sincere expression of suicidal intent.",True
Knackered,"Slang of English origin which means very tired, or total fatigue after long activity.","Example sentence: I'm absolutely knackered, so no watching movie for me tonight. I'm going to sleep. (I'm really tired, so tonight I didn't watch the movie first. I want to go to sleep.)",False
KYS,"Acronym for ""kill yourself"".","""KYS"" originated on anonymous imageboards and social media platforms as a derogatory directive used to encourage self-harm during online arguments or harassment. It is widely considered offensive and is strictly prohibited on most mainstream platforms due to its association with cyberbullying and promotion of suicide.",True
L,"Short for ""loss,"" used to indicate failure, defeat, or something negative.","Often contrasted with ""W"" (win).",False
Left on read,When you text someone and they read it without responding.,"""Left on read"" originates from messaging apps like iMessage and WhatsApp that display a ""Read"" receipt once the recipient opens a message. It is used to describe the social frustration of being ignored by someone who has clearly seen your communication.",False
Let them cook,A phrase used when someone is mid-action to suggest that their result will be surprising and impressive.,"It's mostly used positively, and can also be translated into the affirmative past-tense. ""They really cooked in the 4th quarter!""",False
Let's get this bread,"A play on ""dough"" being slang for money, it means to work hard and succeed.",It went viral in October 2018 and has somewhat morphed into a battlecry or a motivation to succeed. There are also many variants and subsequent memes.,False
Level up,Improving one's abilities or quality is often also used as a term in games.,Example sentence: I need to level up my cooking skills. (I need to improve my cooking skills.),False
Like my recent,Using one social media platform to tell one's followers to like his/her most recent post on another social media platform.,"Often seen as desperate. Synonyms: LB (like back), FB (follow back).",False
Lit,"An adjective meaning exciting, amazing, or awesome. Often used to describe a party, event, or atmosphere that is lively and fun.",Example: *This party is lit! That song is lit!*,False
Live,"When something is so incredible, it's finally making you ""live.""","This is the best vacation ever, I'm living.""",False
living,"When something is so incredible, it's finally making you ""live.""","This is the best vacation ever, I'm living.""",False
Lock in,"A way to implore somebody to focus on something, especially if they are distracted.","""Bro, you need to stop talking and lock in on your essay!""",False
locked in,A state of total concentration on a task.,Similar to flow state.,False
Looksmaxxing,"A term arising from the incel (involuntary celibate) community on the internet, which refers to becoming more attractive by improving hygiene, hair, and fashion sense.","""I've been looksmaxxing lately, I think it's paying off."" ""You do look better, but I think it's just because you're washing your hair now.""",False
Loudly crying emoji 😭,"Also a replacement for I'm dying or the crying with laughter emoji, representing laughter.",Similar to the skull emoji.,False
Low effort,"It is used to refer to something that is made carelessly, without serious effort, or lack of creativity. It can also be used for satirism.",Example sentence: That project was so low effort. (The project is really original.),False
Low key,A warning that someone doesn't want everyone to know what they're saying.,"""Keep this low key."" Could also be used to mean ""kind of,"" as in ""I low key love this song."" Antonym: High key (i.e. not trying to hide it; straight up proclaiming it to the world).",False
lowkenuinely,A portmanteau of 'lowkey' and 'genuinely'.,Used to express a mix of emotions from both words.,False
Lowkey,"An adverb meaning secretly, subtly, or modestly. Often used to express a hidden or understated opinion or emotion.","Example: *Lowkey, I'm obsessed with this show. I lowkey hate him.*",False
lowkirkenuinely,"A portmanteau of 'lowkey', 'kirk', and 'genuinely'.",Used as a stunt word form of lowkenuinely. Other iterations include flowkirkenuinely and lowkirksixsevenuinely.,False
Main character,"In modern slang, main character can mean two things: the main character in the game or story, and someone who behaves as if he or she is the center of attention in real life.","Example sentence:Who's your main character in that game? (Who is the main character you chose in that game?)
She acts like the main character everywhere she goes. (He always acts like a main character wherever he is.)",False
main character,Someone who is or wants to be the star of their life.,Often refers to someone who strives to be the center of attention.,False
Main character energy,"This phrase describes someone who has high confidence, a strong aura, and vibes as if he is the main character in the story.","Example sentence: She walked in with main character energy. (He enters the room with a confident aura, as if like the main character.)",False
main character syndrome,"When someone either is, thinks they are, or behaves as though they are the most interesting or central person in a situation due to how they dress, speak, or behave.","""I'm wearing these cow-print pants to the grocery store. Main character energy.""",False
main character energy,"When someone either is, thinks they are, or behaves as though they are the most interesting or central person in a situation due to how they dress, speak, or behave.","""I'm wearing these cow-print pants to the grocery store. Main character energy.""",False
Meme,"Memes are humorous/comedic content, it can be in the form of images, videos, or text that goes viral on the internet. It is usually used to joke or satirize in a funny way.",Example sentence: That meme cracked me up! (That made me laugh!),False
Menty b,"Shorthand for ""mental breakdown.""","Popularized by the British dating show Love Island, and often said in a British accent. ""If he doesn't text me back I'm going to have a full menty b.""",False
mew,A pseudoscientific method to restructure someone's jawline by pressing their tongue to the roof of their mouth.,"Coined by controversial British dentist John Mew and his son, Mike, the term became popular in the late 2010s and on TikTok.",False
Micromanage,"Over-regulating, commonly used in the workplace with negative connotations for overly controlling bosses.",Example sentence: He always micromanages the team. (He always intervenes in organizing the team.),False
mid,"Average, mediocre, not bad or not special.",Sometimes used in a negative or insulting way.,False
mog,"To look significantly more attractive than someone or something, causing them to appear inferior in comparison.","Derived from AMOG, or ""alpha male of the group"".",False
Mood,"In slang, mood is used to describe feelings or vibes that can be very relatable to a particular situation.",Example sentence: Rainy days always put me in a chill mood. (The rain always makes me feel calm.),False
moot,"Short for ""mutuals"" or ""mutual followers"".","""Moot(s)"" is short for ""mutuals,"" referring to people on social media platforms who both follow each other. It is primarily used within online communities (such as on X/Twitter or TikTok) to describe someone with whom you have a reciprocal connection.",False
Narrative,Something you would not like to take part in.,"""I would v much like to be excluded from this narrative."" Popularized by Taylor Swift in response to Kanye West and Kim Kardashian.",False
Nerd,"A term for someone who is too studious, nerd, or very obsessed with a certain field, sometimes this slang is spoken in a joking or mocking tone.",Example sentence: He's such a nerd about history. (He is a history buff.),False
Nine to five,"This term refers to the standard working hours of office employees, which are from 9 am to 5 pm. It is often used to describe a boring or tiring work routine.",Example sentence: I'm tired of the nine-to-five grind. (I'm tired of my work routine.),False
No cap,"Honestly, it's not a lie. It is usually used to affirm that the statement is serious and not a joke.","Example sentence: That movie was the best I've seen, no cap. (It was the best movie I've ever seen, seriously.)",False
No chill,"It is used to refer to someone who cannot be relaxed, take it too seriously, or overreact in a situation.",Example sentence: He has no chill during debates. (He couldn't relax during the debate at all.),False
NSFW,Not Safe For Work.,Used to mark something as sexually inappropriate or explicit.,True
nugu,"Relatively unknown, obscure, or new groups that have not yet gained significant recognition or popularity among the K-Pop fandom.","The term ""nugu"" is derived from the Korean word *nugu* (누구), which translates to ""who,"" and is used by K-pop fans to describe artists who lack mainstream recognition or public awareness. It is often used to characterize groups from smaller agencies that have yet to achieve a hit song or significant commercial success.",False
Nuts,"In slang, nuts means crazy, weird, or stressful. It can be used to describe a person's situation or nature.",Example sentence: This traffic jam is making me nuts! (This traffic jam drives me crazy!),False
Off the clock,"This phrase is used to refer to something outside of working hours. Usually the context is, don't interfere with work when office hours are over.","Example sentence: Let's talk about this off the clock. (Come on, talk about this outside of business hours.)",False
Ohio,Internet slang that refers to surreal and random phenomena that supposedly occur in Ohio.,Compare Florida man.,False
OK boomer,Pejorative directed toward members of the Baby Boomer generation.,Used to dismiss or mock attitudes typically associated with baby boomers as out of date.,False
"OK, Boomer","OK Boomer is a dismissive phrase used by younger generations to respond to outdated, close-minded, or condescending attitudes expressed by older people, particularly those from the Baby Boomer generation.","Used by younger generations to respond to outdated attitudes expressed by older people, particularly those from the Baby Boomer generation.",False
On the same page,"Understanding, agreeing, or both understanding what is being discussed.",Example sentence: Let's make sure we're on the same page before we launch. (Make sure we all agree before launching the project.),False
oof,"Used to express discomfort, surprise, dismay, or sympathy for someone else's pain.","It also is the sound of a Roblox avatar when it dies or respawns. Thus the verb ""to oof"" can mean killing another player in a game or messing up something oneself.",False
oomf,"Abbreviation for ""One of My Followers"" or ""One of My Friends"".","""Oomf"" originated on Twitter as a way for users to refer to a specific person in their social media circle without explicitly tagging them or naming them publicly. It is primarily used to maintain a degree of privacy or vaguebooking while still addressing an interaction with a follower or acquaintance.",False
opp,Short for opposition or enemies; describes an individual's opponents.,"A secondary, older definition has the term be short for ""other peoples' pussy"". Originated from street and gang culture. Dexerto claims that the primary definition stems from the secondary one, which was derived from a 1991 Naughty by Nature song titled ""O.P.P"". The initialism was derived from the acronym ""OPM"", which was used in the neighborhood the group grew up in and stood for ""other people's money"". An example of the term being used in popular culture is also in the Gangsta rap scene, with YBN Nahmir and his song ""Opp Stoppa"". Dictionary.com implies that the origins for the two meanings had little to do with each other.",True
OTP,One True Pairing.,"Used to describe a relationship you are very invested in, or believe should happen. ""I don't care that they're from different TV shows, they're my OTP!"" (Similar to ""endgame."")",False
