slang,definition,origin_context
I'm baby,Saying I'm baby is a way of acknowledging one's inexperience naivety or lack of knowledge about a particular situation or topic. It's a self-deprecating admission of being a beginner or novice.,I'm baby originated from internet memes depicting cute helpless animals and it is used to playfully claim innocence or a need for coddling when one feels overwhelmed or lacks experience. It serves as a lighthearted way to deflect responsibility or ask for gentle treatment by positioning oneself as small and vulnerable.
ick,A sudden feeling of disgust or repulsion for something one was previously attracted to.,The term gained widespread popularity on TikTok and social media following its use in the 1997 television series *Ally McBeal* to describe a sudden irrevocable loss of romantic interest. Today it is used to describe a specific minor action or quirk that makes someone instantly unappealing.
The ick,Used mostly by young women to refer to something a boy does that turns them off but doesn't necessarily make sense.,I thought about him singing Rihanna in the shower and it honestly gave me the ick. Close-up magic is such an ick for me.
icl,Abbreviation of I can't lie.,Often used alongside ts and pmo.
IJBOL,An acronym for I just burst out laughing.,IJBOL originated in K-pop fan circles on X (formerly Twitter) around 2021 as a successor to LMAO or ROFL. It is used to describe a reaction to something so funny that it triggers an uncontrollable sudden burst of laughter.
In the loop,Stay informed or stay updated in a situation/project.,Example sentence: Keep me in the loop about the project. (Stay tuned for the project.)
iPad kid,Term describing Generation Alpha children who spend most of their time consuming content via a phone or tablet screen.,The term was popularized in January 2021 after a 21-year-old TikToker criticized Millennial parents for allowing their children excessive screen time saying I need everyone else in my generation to promise that we are not going to raise 'iPad children'. ... You've been shoving media and screens in these kids' faces since birth. He concludes: Gen Z isn't allowed to raise iPad kids. The viral video garnered more than 525 million views on TikTok.
It hits different,A phrase that is commonly used when something feels more memorable stronger or more special than usual.,Example sentence: This song hits different at night. (This song feels more effective when listened to at night.)
aesthetic,describes a visual style that is pleasing,popular on Instagram when users talk about their feed
af,intensifier meaning extremely or very,appears in TikTok captions to emphasize excitement
bde,big confidence energy without arrogance,used on X when praising a confident peer
bffr,expression used to show disbelief or surprise,found in TikTok comment sections
bestie,short for best friend used affectionately,common in Snapchat stories
boom,used to dismiss an older person’s outdated opinion,popular on X as okay boomer
no cap,means a statement is truthful,appears in X threads to emphasize honesty
drip,refers to stylish clothing or accessories,used on TikTok fashion videos
fr,short for for real used to emphasize sincerity,used in Snapchat messages to confirm truth
lowkey,something that is subtle or not meant to be obvious,used on Snapchat to hint at secret plans
mood,statement that something is relatable or fitting,common on TikTok as a reaction to a vibe
spill the tea,share gossip or insider information,used on Reddit threads about celebrity news
sus,describes something suspicious or questionable,popular on TikTok when reacting to odd behavior
vibe,the overall feeling or atmosphere of a situation,used on Instagram to describe aesthetic posts
wig,expression of being shocked or impressed,used on TikTok when reacting to surprising news
